dados,euro
01.06.2021,6.2898
31.05.2021,6.378
28.05.2021,6.3691
27.05.2021,6.3857
26.05.2021,6.4747
25.05.2021,6.5307
24.05.2021,6.4972
21.05.2021,6.53
20.05.2021,6.4584
19.05.2021,6.4616
18.05.2021,6.4283
17.05.2021,6.4071
14.05.2021,6.4012
13.05.2021,6.4122
12.05.2021,6.405
11.05.2021,6.3402
10.05.2021,6.3401
07.05.2021,6.3695
06.05.2021,6.3675
05.05.2021,6.4277
04.05.2021,6.5393
03.05.2021,6.5636
30.04.2021,6.5337
29.04.2021,6.468
28.04.2021,6.4773
27.04.2021,6.5903
26.04.2021,6.5657
23.04.2021,6.6243
22.04.2021,6.5419
21.04.2021,6.7017
20.04.2021,6.7008
19.04.2021,6.674
16.04.2021,6.6965
15.04.2021,6.7198
14.04.2021,6.7707
13.04.2021,6.8296
12.04.2021,6.8277
09.04.2021,6.7623
08.04.2021,6.6374
07.04.2021,6.6642
06.04.2021,6.6386
05.04.2021,6.6888
02.04.2021,6.7132
01.04.2021,6.7201
31.03.2021,6.6046
30.03.2021,6.7642
29.03.2021,6.7983
26.03.2021,6.7882
25.03.2021,6.6437
24.03.2021,6.6394
23.03.2021,6.5418
22.03.2021,6.5702
19.03.2021,6.5368
18.03.2021,6.6252
17.03.2021,6.6876
16.03.2021,6.6933
15.03.2021,6.6983
12.03.2021,6.6355
11.03.2021,6.634
10.03.2021,6.7639
09.03.2021,6.9038
08.03.2021,6.9584
05.03.2021,6.7817
04.03.2021,6.7839
03.03.2021,6.778
02.03.2021,6.8618
01.03.2021,6.7967
26.02.2021,6.7597
25.02.2021,6.7343
24.02.2021,6.5745
23.02.2021,6.6101
22.02.2021,6.6433
19.02.2021,6.5217
18.02.2021,6.5602
17.02.2021,6.5126
16.02.2021,6.4998
15.02.2021,6.5125
12.02.2021,6.5071
11.02.2021,6.5085
10.02.2021,6.5257
09.02.2021,6.5166
08.02.2021,6.4646
05.02.2021,6.467
04.02.2021,6.4913
03.02.2021,6.4417
02.02.2021,6.4636
01.02.2021,6.5507
29.01.2021,6.6293
28.01.2021,6.595
27.01.2021,6.5561
26.01.2021,6.5109
25.01.2021,6.6347
22.01.2021,6.6512
21.01.2021,6.5074
20.01.2021,6.4051
19.01.2021,6.4969
18.01.2021,6.3951
15.01.2021,6.3925
14.01.2021,6.3171
13.01.2021,6.442
12.01.2021,6.4962
11.01.2021,6.6686
08.01.2021,6.6195
07.01.2021,6.6382
06.01.2021,6.5494
05.01.2021,6.4989
04.01.2021,6.4875
01.01.2021,6.3755
31.12.2020,6.3428
30.12.2020,6.3857
29.12.2020,6.3806
28.12.2020,6.4081
25.12.2020,6.3662
24.12.2020,6.3563
23.12.2020,6.3562
22.12.2020,6.2747
21.12.2020,6.2701
18.12.2020,6.2527
17.12.2020,6.2044
16.12.2020,6.2007
15.12.2020,6.1778
14.12.2020,6.2159
11.12.2020,6.1349
10.12.2020,6.0991
09.12.2020,6.2463
08.12.2020,6.196
07.12.2020,6.1734
04.12.2020,6.2487
03.12.2020,6.255
02.12.2020,6.32
01.12.2020,6.2838
30.11.2020,6.3599
27.11.2020,6.3923
26.11.2020,6.3568
25.11.2020,6.3421
24.11.2020,6.3892
23.11.2020,6.4398
20.11.2020,6.3766
19.11.2020,6.2991
18.11.2020,6.3561
17.11.2020,6.3197
16.11.2020,6.4186
13.11.2020,6.4581
12.11.2020,6.4427
11.11.2020,6.349
10.11.2020,6.3969
09.11.2020,6.3612
06.11.2020,6.369
05.11.2020,6.5344
04.11.2020,6.6393
03.11.2020,6.7409
02.11.2020,6.6837
30.10.2020,6.6907
29.10.2020,6.7464
28.10.2020,6.7483
27.10.2020,6.7296
26.10.2020,6.6395
23.10.2020,6.6618
22.10.2020,6.6062
21.10.2020,6.6483
20.10.2020,6.6256
19.10.2020,6.5971
16.10.2020,6.6148
15.10.2020,6.5701
14.10.2020,6.5674
13.10.2020,6.5406
12.10.2020,6.5345
09.10.2020,6.5413
08.10.2020,6.582
07.10.2020,6.597
06.10.2020,6.5616
05.10.2020,6.5671
02.10.2020,6.6595
01.10.2020,6.6297
30.09.2020,6.5752
29.09.2020,6.6159
28.09.2020,6.6022
25.09.2020,6.4691
24.09.2020,6.43
23.09.2020,6.5224
22.09.2020,6.4032
21.09.2020,6.3707
18.09.2020,6.3766
17.09.2020,6.2071
16.09.2020,6.1878
15.09.2020,6.248
14.09.2020,6.2544
11.09.2020,6.3002
10.09.2020,6.2857
09.09.2020,6.2643
08.09.2020,6.3127
07.09.2020,6.2624
04.09.2020,6.2735
03.09.2020,6.2698
02.09.2020,6.3306
01.09.2020,6.4266
31.08.2020,6.5545
28.08.2020,6.4135
27.08.2020,6.5832
26.08.2020,6.6331
25.08.2020,6.5183
24.08.2020,6.6125
21.08.2020,6.6278
20.08.2020,6.5898
19.08.2020,6.5779
18.08.2020,6.5217
17.08.2020,6.5386
14.08.2020,6.4183
13.08.2020,6.3419
12.08.2020,6.4042
11.08.2020,6.3156
10.08.2020,6.4327
07.08.2020,6.4096
06.08.2020,6.3312
05.08.2020,6.2747
04.08.2020,6.2433
03.08.2020,6.2584
31.07.2020,6.1523
30.07.2020,6.1047
29.07.2020,6.0945
28.07.2020,6.0366
27.07.2020,6.0455
24.07.2020,6.0984
23.07.2020,6.0419
22.07.2020,5.9189
21.07.2020,5.959
20.07.2020,6.0977
17.07.2020,6.1528
16.07.2020,6.0684
15.07.2020,6.1269
14.07.2020,6.1167
13.07.2020,6.1287
10.07.2020,6.0148
09.07.2020,6.027
08.07.2020,6.0522
07.07.2020,6.0621
06.07.2020,6.0545
03.07.2020,5.9792
02.07.2020,6.0231
01.07.2020,5.9821
30.06.2020,6.139
29.06.2020,6.0734
26.06.2020,6.1514
25.06.2020,6.0074
24.06.2020,6.015
23.06.2020,5.8273
22.06.2020,5.9132
19.06.2020,5.9345
18.06.2020,6.025
17.06.2020,5.8785
16.06.2020,5.9058
15.06.2020,5.8373
12.06.2020,5.6842
11.06.2020,5.6214
10.06.2020,5.6544
09.06.2020,5.5548
08.06.2020,5.4461
05.06.2020,5.5952
04.06.2020,5.8029
03.06.2020,5.6859
02.06.2020,5.8094
01.06.2020,5.9715
29.05.2020,5.922
28.05.2020,5.986
27.05.2020,5.8022
26.05.2020,5.8688
25.05.2020,5.9357
22.05.2020,6.0294
21.05.2020,6.0775
20.05.2020,6.2487
19.05.2020,6.2839
18.05.2020,6.2383
15.05.2020,6.3326
14.05.2020,6.2787
13.05.2020,6.3654
12.05.2020,6.3835
11.05.2020,6.2869
08.05.2020,6.2134
07.05.2020,6.3158
06.05.2020,6.1677
05.05.2020,6.0441
04.05.2020,6.0474
01.05.2020,6.0226
30.04.2020,6.0097
29.04.2020,5.8005
28.04.2020,5.9498
27.04.2020,6.1206
24.04.2020,6.0491
23.04.2020,5.9629
22.04.2020,5.9066
21.04.2020,5.7714
20.04.2020,5.7751
17.04.2020,5.6929
16.04.2020,5.6703
15.04.2020,5.7117
14.04.2020,5.6675
13.04.2020,5.6736
10.04.2020,5.5832
09.04.2020,5.5804
08.04.2020,5.5619
07.04.2020,5.6856
06.04.2020,5.7044
03.04.2020,5.7829
02.04.2020,5.707
01.04.2020,5.7537
31.03.2020,5.7402
30.03.2020,5.7379
27.03.2020,5.6811
26.03.2020,5.5388
25.03.2020,5.4779
24.03.2020,5.4995
23.03.2020,5.5153
20.03.2020,5.4141
19.03.2020,5.4473
18.03.2020,5.5726
17.03.2020,5.5072
16.03.2020,5.5907
13.03.2020,5.3948
12.03.2020,5.3578
11.03.2020,5.4235
10.03.2020,5.2363
09.03.2020,5.4065
06.03.2020,5.2215
05.03.2020,5.1777
04.03.2020,5.1046
03.03.2020,5.043
02.03.2020,4.9805
28.02.2020,4.9318
27.02.2020,4.9338
26.02.2020,4.8414
25.02.2020,4.7735
24.02.2020,4.7616
21.02.2020,4.7595
20.02.2020,4.7369
19.02.2020,4.7158
18.02.2020,4.7002
17.02.2020,4.6879
14.02.2020,4.6541
13.02.2020,4.7152
12.02.2020,4.7341
11.02.2020,4.7275
10.02.2020,4.7184
07.02.2020,4.7277
06.02.2020,4.7019
05.02.2020,4.6576
04.02.2020,4.6982
03.02.2020,4.697
31.01.2020,4.75
30.01.2020,4.68
29.01.2020,4.6571
28.01.2020,4.6221
27.01.2020,4.6357
24.01.2020,4.6092
23.01.2020,4.609
22.01.2020,4.6389
21.01.2020,4.6681
20.01.2020,4.6482
17.01.2020,4.6144
16.01.2020,4.6597
15.01.2020,4.655
14.01.2020,4.5983
13.01.2020,4.6164
10.01.2020,4.5548
09.01.2020,4.5447
08.01.2020,4.5134
07.01.2020,4.5362
06.01.2020,4.5478
03.01.2020,4.5391
02.01.2020,4.4978
01.01.2020,4.5053
31.12.2019,4.5053
30.12.2019,4.5002
27.12.2019,4.521
26.12.2019,4.5002
25.12.2019,4.528
24.12.2019,4.5272
23.12.2019,4.5267
20.12.2019,4.5444
19.12.2019,4.5252
18.12.2019,4.5144
17.12.2019,4.5394
16.12.2019,4.5268
13.12.2019,4.5677
12.12.2019,4.5519
11.12.2019,4.589
10.12.2019,4.5995
09.12.2019,4.5821
06.12.2019,4.5788
05.12.2019,4.6477
04.12.2019,4.6604
03.12.2019,4.661
02.12.2019,4.6778
29.11.2019,4.6664
28.11.2019,4.6119
27.11.2019,4.6891
26.11.2019,4.6639
25.11.2019,4.6548
22.11.2019,4.6251
21.11.2019,4.6362
20.11.2019,4.6453
19.11.2019,4.6463
18.11.2019,4.669
15.11.2019,4.6362
14.11.2019,4.6232
13.11.2019,4.5897
12.11.2019,4.5872
11.11.2019,4.58
08.11.2019,4.5871
07.11.2019,4.5301
06.11.2019,4.5183
05.11.2019,4.4224
04.11.2019,4.4673
01.11.2019,4.4545
31.10.2019,4.4794
30.10.2019,4.4497
29.10.2019,4.4418
28.10.2019,4.4283
25.10.2019,4.4344
24.10.2019,4.4861
23.10.2019,4.4891
22.10.2019,4.5405
21.10.2019,4.6025
18.10.2019,4.5926
17.10.2019,4.6306
16.10.2019,4.5946
15.10.2019,4.6115
14.10.2019,4.5498
11.10.2019,4.536
10.10.2019,4.5214
09.10.2019,4.5071
08.10.2019,4.4848
07.10.2019,4.5052
04.10.2019,4.4503
03.10.2019,4.4768
02.10.2019,4.5242
01.10.2019,4.5449
30.09.2019,4.5282
27.09.2019,4.5501
26.09.2019,4.5548
25.09.2019,4.538
24.09.2019,4.5867
23.09.2019,4.5754
20.09.2019,4.569
19.09.2019,4.6004
18.09.2019,4.5336
17.09.2019,4.514
16.09.2019,4.4875
13.09.2019,4.5222
12.09.2019,4.491
11.09.2019,4.4775
10.09.2019,4.5063
09.09.2019,4.5226
06.09.2019,4.4766
05.09.2019,4.5319
04.09.2019,4.5182
03.09.2019,4.5726
02.09.2019,4.59
30.08.2019,4.5526
29.08.2019,4.6083
28.08.2019,4.6166
27.08.2019,4.5802
26.08.2019,4.6135
23.08.2019,4.5914
22.08.2019,4.5092
21.08.2019,4.4626
20.08.2019,4.4983
19.08.2019,4.5124
16.08.2019,4.4416
15.08.2019,4.4318
14.08.2019,4.5133
13.08.2019,4.4281
12.08.2019,4.4662
09.08.2019,4.4122
08.08.2019,4.381
07.08.2019,4.4432
06.08.2019,4.4347
05.08.2019,4.4545
02.08.2019,4.3187
01.08.2019,4.2544
31.07.2019,4.2236
30.07.2019,4.2265
29.07.2019,4.2131
26.07.2019,4.2
25.07.2019,4.2126
24.07.2019,4.2027
23.07.2019,4.2075
22.07.2019,4.1921
19.07.2019,4.2054
18.07.2019,4.1928
17.07.2019,4.2236
16.07.2019,4.2236
15.07.2019,4.2276
12.07.2019,4.2099
11.07.2019,4.224
10.07.2019,4.2232
09.07.2019,4.2583
08.07.2019,4.2676
05.07.2019,4.2889
04.07.2019,4.2888
03.07.2019,4.3144
02.07.2019,4.3408
01.07.2019,4.3336
28.06.2019,4.376
27.06.2019,4.3415
26.06.2019,4.3691
25.06.2019,4.3723
24.06.2019,4.3595
21.06.2019,4.3399
20.06.2019,4.3342
19.06.2019,4.3084
18.06.2019,4.3198
17.06.2019,4.3613
14.06.2019,4.3664
13.06.2019,4.3392
12.06.2019,4.3634
11.06.2019,4.3695
10.06.2019,4.3967
07.06.2019,4.3935
06.06.2019,4.3737
05.06.2019,4.3539
04.06.2019,4.3364
03.06.2019,4.3669
31.05.2019,4.385
30.05.2019,4.4315
29.05.2019,4.4229
28.05.2019,4.4911
27.05.2019,4.5243
24.05.2019,4.5047
23.05.2019,4.516
22.05.2019,4.5054
21.05.2019,4.5064
20.05.2019,4.5747
17.05.2019,4.574
16.05.2019,4.521
15.05.2019,4.4813
14.05.2019,4.4565
13.05.2019,4.4808
10.05.2019,4.4444
09.05.2019,4.4254
08.05.2019,4.3957
07.05.2019,4.4424
06.05.2019,4.444
03.05.2019,4.4103
02.05.2019,4.4316
01.05.2019,4.3875
30.04.2019,4.3964
29.04.2019,4.4085
26.04.2019,4.3798
25.04.2019,4.3997
24.04.2019,4.4521
23.04.2019,4.4003
22.04.2019,4.4304
19.04.2019,4.4152
18.04.2019,4.4086
17.04.2019,4.4468
16.04.2019,4.4027
15.04.2019,4.3781
12.04.2019,4.3858
11.04.2019,4.3391
10.04.2019,4.3116
09.04.2019,4.336
08.04.2019,4.3336
05.04.2019,4.3432
04.04.2019,4.3295
03.04.2019,4.3469
02.04.2019,4.3167
01.04.2019,4.3182
29.03.2019,4.4013
28.03.2019,4.3792
27.03.2019,4.489
26.03.2019,4.3669
25.03.2019,4.3587
22.03.2019,4.417
21.03.2019,4.3124
20.03.2019,4.3083
19.03.2019,4.2996
18.03.2019,4.2978
15.03.2019,4.3177
14.03.2019,4.3425
13.03.2019,4.3182
12.03.2019,4.3022
11.03.2019,4.3185
08.03.2019,4.3465
07.03.2019,4.3324
06.03.2019,4.3419
05.03.2019,4.2694
04.03.2019,4.2812
01.03.2019,4.2948
28.02.2019,4.2657
27.02.2019,4.2393
26.02.2019,4.2729
25.02.2019,4.2621
22.02.2019,4.252
21.02.2019,4.2732
20.02.2019,4.226
19.02.2019,4.2223
18.02.2019,4.2249
15.02.2019,4.1797
14.02.2019,4.2057
13.02.2019,4.2278
12.02.2019,4.2016
11.02.2019,4.2372
08.02.2019,4.2254
07.02.2019,4.2172
06.02.2019,4.202
05.02.2019,4.189
04.02.2019,4.1968
01.02.2019,4.1925
31.01.2019,4.1713
30.01.2019,4.2298
29.01.2019,4.253
28.01.2019,4.2987
25.01.2019,4.3013
24.01.2019,4.2661
23.01.2019,4.2864
22.01.2019,4.3337
21.01.2019,4.2682
18.01.2019,4.263
17.01.2019,4.2735
16.01.2019,4.2595
15.01.2019,4.2425
14.01.2019,4.2453
11.01.2019,4.2565
10.01.2019,4.2671
09.01.2019,4.2482
08.01.2019,4.2488
07.01.2019,4.2868
04.01.2019,4.2339
03.01.2019,4.2801
02.01.2019,4.2992
01.01.2019,4.4494
